WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
WA300543;13.04.2025;AR500543;100036;KRONOS PAPIER GMBH;46673,00;Werk Musterhausen
WA300544;28.04.2025;AR500544;100071;VEGA PAPIER GMBH;48430,00;Werk Musterhausen
WA300545;22.04.2025;AR500545;100126;DELTA TECHNIK SE;6938,00;Werk Musterhausen
WA300546;07.04.2025;AR500546;100151;KRONOS KUNSTSTOFF KG;53852,00;Werk Musterhausen
WA300547;05.04.2025;AR500547;100064;FALKE MASCHINEN GMBH;22402,00;Werk Musterhausen
WA300548;15.04.2025;AR500548;100100;KRONOS TRANSPORT SE;50044,00;Werk Musterhausen
WA300549;13.04.2025;AR500549;100036;KRONOS PAPIER GMBH;51034,00;Werk Musterhausen
WA300550;05.04.2025;AR500550;100059;FOKUS RECYCLING GMBH & CO. KG;29120,00;Werk Musterhausen
WA300551;29.04.2025;AR500551;100014;ALPHA HANDEL GMBH;9356,00;Werk Musterhausen
WA300552;15.04.2025;AR500552;100071;VEGA PAPIER GMBH;13517,00;Werk Musterhausen
WA300553;26.04.2025;AR500553;100149;RATIO DISTRIBUTION GMBH;52520,00;Werk Musterhausen
WA300554;04.04.2025;AR500554;100063;MERKUR DRUCK SE;31565,00;Werk Musterhausen
WA300555;09.04.2025;AR500555;100090;WEST WERKSTOFFE GMBH;54668,00;Werk Musterhausen
WA300556;08.04.2025;AR500556;100071;VEGA PAPIER GMBH;37835,00;Werk Musterhausen
WA300557;03.04.2025;AR500557;100098;PACTUM FOLIEN AG;45944,00;Werk Musterhausen
WA300558;08.04.2025;AR500558;100135;PACTUM KARTON E.K.;35186,00;Werk Musterhausen
WA300559;03.04.2025;AR500559;100021;HELIOS RECYCLING GMBH;41339,00;Werk Musterhausen
WA300560;15.04.2025;AR500560;100093;TERRA RECYCLING GMBH;19731,00;Werk Musterhausen
WA300561;22.04.2025;AR500561;100052;ORION TRANSPORT GMBH;23965,00;Werk Musterhausen
WA300562;16.04.2025;AR500562;100016;MERKUR WERKSTOFFE SE;3867,00;Werk Musterhausen
WA300563;25.04.2025;AR500563;100141;SOLUM TRANSPORT KG;32454,00;Werk Musterhausen
WA300564;27.04.2025;AR500564;100113;MERKUR RECYCLING E.K.;24631,00;Werk Musterhausen
WA300565;06.04.2025;AR500565;100004;PRISMA SYSTEME AG;8763,00;Werk Musterhausen
WA300566;30.04.2025;AR500566;100114;ATLAS CHEMIE GMBH;38952,00;Werk Musterhausen
WA300567;22.04.2025;AR500567;100158;WEST SYSTEME AG;33928,00;Werk Musterhausen
WA300568;09.04.2025;AR500568;100061;TERRA KARTON E.K.;47774,00;Werk Musterhausen
WA300569;29.04.2025;AR500569;100085;WEST LOGISTIK GMBH;24977,00;Werk Musterhausen
WA300570;21.04.2025;AR500570;100032;OMEGA VERPACKUNG KG;54178,00;Werk Musterhausen
WA300571;26.04.2025;AR500571;100036;KRONOS PAPIER GMBH;10697,00;Werk Musterhausen
WA300572;13.04.2025;AR500572;100094;SATURN FORMTEILE SE;18738,00;Werk Musterhausen
WA300573;12.04.2025;AR500573;100000;FALKE FOLIEN E.K.;27695,00;Werk Musterhausen
WA300574;08.04.2025;AR500574;100036;KRONOS PAPIER GMBH;5567,00;Werk Musterhausen
WA300575;22.04.2025;AR500575;100095;KRONOS MASCHINEN SE;31662,00;Werk Musterhausen
WA300576;23.04.2025;AR500576;100036;KRONOS PAPIER GMBH;21613,00;Werk Musterhausen
WA300577;21.04.2025;AR500577;100094;SATURN FORMTEILE SE;6034,00;Werk Musterhausen
WA300578;04.04.2025;AR500578;100085;WEST LOGISTIK GMBH;2403,00;Werk Musterhausen
WA300579;09.04.2025;AR500579;100144;WEST CHEMIE SE;3857,00;Werk Musterhausen
WA300580;11.04.2025;AR500580;100097;VEGA WERKSTOFFE KG;52022,00;Werk Musterhausen
WA300581;24.04.2025;AR500581;100067;NOVA DRUCK GMBH;41584,00;Werk Musterhausen
WA300582;10.04.2025;AR500582;100051;PACTUM DISTRIBUTION KG;12106,00;Werk Musterhausen
WA300583;02.04.2025;AR500583;100014;ALPHA HANDEL GMBH;40156,00;Werk Musterhausen
WA300584;21.04.2025;AR500584;100110;RATIO RECYCLING E.K.;3718,00;Werk Musterhausen
WA300585;18.04.2025;AR500585;100122;FOKUS SYSTEME GMBH;27854,00;Werk Musterhausen
WA300586;09.04.2025;AR500586;100107;CASTOR VERPACKUNG AG;44905,00;Werk Musterhausen
WA300587;21.04.2025;AR500587;100145;ATLAS RECYCLING SE;17329,00;Werk Musterhausen
WA300588;22.04.2025;AR500588;100123;SÜD CHEMIE GMBH & CO. KG;9328,00;Werk Musterhausen
WA300589;10.04.2025;AR500589;100015;OST WERKSTOFFE AG;37676,00;Werk Musterhausen
WA300590;16.04.2025;AR500590;100033;WEST TECHNIK GMBH;44138,00;Werk Musterhausen
WA300591;13.04.2025;AR500591;100102;CASTOR FORMTEILE GMBH;16952,00;Werk Musterhausen
WA300592;07.04.2025;AR500592;100092;SATURN ETIKETTEN GMBH;10062,00;Werk Musterhausen
WA300593;30.04.2025;AR500593;100034;BOREAS PAPIER GMBH;29010,00;Werk Musterhausen
WA300594;03.04.2025;AR500594;100085;WEST LOGISTIK GMBH;16376,00;Werk Musterhausen
WA300595;23.04.2025;AR500595;100061;TERRA KARTON E.K.;43590,00;Werk Musterhausen
WA300596;01.04.2025;AR500596;100062;POLLUX BESCHICHTUNG GMBH;26897,00;Werk Musterhausen
WA300597;03.04.2025;AR500597;100041;PRISMA HANDEL E.K.;35769,00;Werk Musterhausen
WA300598;16.04.2025;AR500598;100100;KRONOS TRANSPORT SE;22727,00;Werk Musterhausen
WA300599;26.04.2025;AR500599;100149;RATIO DISTRIBUTION GMBH;12582,00;Werk Musterhausen
WA300600;21.04.2025;AR500600;100115;BOREAS KUNSTSTOFF KG;4923,00;Werk Musterhausen
WA300601;04.04.2025;AR500601;100057;CORVUS FORMTEILE GMBH;26264,00;Werk Musterhausen
WA300602;01.04.2025;AR500602;100036;KRONOS PAPIER GMBH;33045,00;Werk Musterhausen
WA300603;17.04.2025;AR500603;100013;NOVA FORMTEILE GMBH;37767,00;Werk Musterhausen
WA300604;30.04.2025;AR500604;100064;FALKE MASCHINEN GMBH;50810,00;Werk Musterhausen
WA300605;22.04.2025;AR500605;100065;ATLAS ETIKETTEN E.K.;29663,00;Werk Musterhausen
WA300606;01.04.2025;AR500606;100126;DELTA TECHNIK SE;11126,00;Werk Musterhausen
WA300607;24.04.2025;AR500607;100095;KRONOS MASCHINEN SE;50745,00;Werk Musterhausen
WA300608;28.04.2025;AR500608;100078;FALKE SYSTEME GMBH;29036,00;Werk Musterhausen
WA300609;03.04.2025;AR500609;100066;SOLUM PAPIER GMBH;42999,00;Werk Musterhausen
WA300610;24.04.2025;AR500610;100138;ALPHA FOLIEN GMBH;34713,00;Werk Musterhausen
WA300611;14.04.2025;AR500611;100028;VEGA FOLIEN GMBH;15253,00;Werk Musterhausen
WA300612;21.04.2025;AR500612;100011;BOREAS BESCHICHTUNG E.K.;29315,00;Werk Musterhausen
WA300613;26.04.2025;AR500613;100048;ATLAS ETIKETTEN GMBH & CO. KG;12128,00;Werk Musterhausen
WA300614;06.04.2025;AR500614;100137;PRISMA DISTRIBUTION GMBH;13161,00;Werk Musterhausen
WA300615;14.04.2025;AR500615;100045;HELIOS DRUCK GMBH;24102,00;Werk Musterhausen
WA300616;21.04.2025;AR500616;100001;FOKUS KUNSTSTOFF GMBH;52979,00;Werk Musterhausen
WA300617;12.04.2025;AR500617;100137;PRISMA DISTRIBUTION GMBH;7993,00;Werk Musterhausen
WA300618;23.04.2025;AR500618;100153;KRONOS INDUSTRIEBEDARF E.K.;9326,00;Werk Musterhausen
WA300619;21.04.2025;AR500619;100035;CIVES TECHNIK GMBH;22597,00;Werk Musterhausen
WA300620;07.04.2025;AR500620;100013;NOVA FORMTEILE GMBH;25197,00;Werk Musterhausen
WA300621;12.04.2025;AR500621;100006;SÜD DRUCK GMBH;13954,00;Werk Musterhausen
WA300622;30.04.2025;AR500622;100134;SOLUM TRANSPORT E.K.;3473,00;Werk Musterhausen
WA300623;16.04.2025;AR500623;100030;PRISMA ETIKETTEN AG;4249,00;Werk Musterhausen
WA300624;23.04.2025;AR500624;100036;KRONOS PAPIER GMBH;44384,00;Werk Musterhausen
WA300625;12.04.2025;AR500625;100020;ADLER TRANSPORT GMBH;50344,00;Werk Musterhausen
WA300626;13.04.2025;AR500626;100119;TITAN WERKSTOFFE GMBH & CO. KG;9005,00;Werk Musterhausen
WA300627;14.04.2025;AR500627;100116;KRANICH MASCHINEN KG;1010,00;Werk Musterhausen
WA300628;14.04.2025;AR500628;100035;CIVES TECHNIK GMBH;21023,00;Werk Musterhausen
WA300629;17.04.2025;AR500629;100102;CASTOR FORMTEILE GMBH;25728,00;Werk Musterhausen
WA300630;13.04.2025;AR500630;100152;NORD WERKSTOFFE GMBH;28058,00;Werk Musterhausen
WA300631;20.04.2025;AR500631;100103;IRIS MASCHINEN AG;35869,00;Werk Musterhausen
WA300632;08.04.2025;AR500632;100003;IRIS MASCHINEN KG;31407,00;Werk Musterhausen
WA300633;01.04.2025;AR500633;100070;ADLER DRUCK GMBH;12634,00;Werk Musterhausen
WA300634;13.04.2025;AR500634;100103;IRIS MASCHINEN AG;41684,00;Werk Musterhausen
WA300635;16.04.2025;AR500635;100050;OST CHEMIE GMBH;23447,00;Werk Musterhausen
WA300636;01.04.2025;AR500636;100095;KRONOS MASCHINEN SE;33417,00;Werk Musterhausen
WA300637;26.04.2025;AR500637;100023;OST PAPIER SE;22649,00;Werk Musterhausen
WA300638;30.04.2025;AR500638;100076;PACTUM LOGISTIK SE;47740,00;Werk Musterhausen
WA300639;22.04.2025;AR500639;100120;WEST TECHNIK SE;20499,00;Werk Musterhausen
WA300640;30.04.2025;AR500640;100088;NOVA BESCHICHTUNG GMBH;44577,00;Werk Musterhausen
WA300641;23.04.2025;AR500641;100140;MERKUR HANDEL E.K.;40116,00;Werk Musterhausen
WA300642;21.04.2025;AR500642;100044;VEGA FORMTEILE GMBH;43740,00;Werk Musterhausen
WA300643;29.04.2025;AR500643;100080;RATIO SYSTEME GMBH;42601,00;Werk Musterhausen
WA300644;06.04.2025;AR500644;100058;VEGA ETIKETTEN GMBH & CO. KG;30859,00;Werk Musterhausen
WA300645;03.04.2025;AR500645;100134;SOLUM TRANSPORT E.K.;29768,00;Werk Musterhausen
WA300646;30.04.2025;AR500646;100099;VEGA CHEMIE KG;19596,00;Werk Musterhausen
WA300647;23.04.2025;AR500647;100081;ADLER RECYCLING GMBH;22016,00;Werk Musterhausen
WA300648;24.04.2025;AR500648;100105;WEST SYSTEME GMBH & CO. KG;24185,00;Werk Musterhausen
WA300649;02.04.2025;AR500649;100063;MERKUR DRUCK SE;11037,00;Werk Musterhausen
WA300650;08.04.2025;AR500650;100024;KRANICH HANDEL GMBH;22632,00;Werk Musterhausen
WA300651;06.04.2025;AR500651;100109;SOLUM KARTON GMBH & CO. KG;7323,00;Werk Musterhausen
WA300652;30.04.2025;AR500652;100145;ATLAS RECYCLING SE;42620,00;Werk Musterhausen
WA300653;26.04.2025;AR500653;100074;WEST LOGISTIK KG;52324,00;Werk Musterhausen
WA300654;27.04.2025;AR500654;100067;NOVA DRUCK GMBH;43111,00;Werk Musterhausen
WA300655;09.04.2025;AR500655;100010;FOKUS TECHNIK GMBH;26596,00;Werk Musterhausen
WA300656;23.04.2025;AR500656;100123;SÜD CHEMIE GMBH & CO. KG;22892,00;Werk Musterhausen
WA300657;07.04.2025;AR500657;100051;PACTUM DISTRIBUTION KG;54743,00;Werk Musterhausen
WA300658;16.04.2025;AR500658;100129;ALPHA PAPIER E.K.;43792,00;Werk Musterhausen
WA300659;23.04.2025;AR500659;100139;RATIO BESCHICHTUNG KG;857,00;Werk Musterhausen
WA300660;07.04.2025;AR500660;100159;MERKUR DRUCK AG;16468,00;Werk Musterhausen
WA300661;18.04.2025;AR500661;100086;HELIOS FOLIEN GMBH & CO. KG;23530,00;Werk Musterhausen
WA300662;08.04.2025;AR500662;100011;BOREAS BESCHICHTUNG E.K.;51279,00;Werk Musterhausen
WA300663;13.04.2025;AR500663;100099;VEGA CHEMIE KG;49206,00;Werk Musterhausen
WA300664;30.04.2025;AR500664;100151;KRONOS KUNSTSTOFF KG;40026,00;Werk Musterhausen
WA300665;16.04.2025;AR500665;100106;ALPHA RECYCLING AG;41844,00;Werk Musterhausen
WA300666;19.04.2025;AR500666;100139;RATIO BESCHICHTUNG KG;27039,00;Werk Musterhausen
WA300667;03.04.2025;AR500667;100099;VEGA CHEMIE KG;28353,00;Werk Musterhausen
WA300668;03.04.2025;AR500668;100119;TITAN WERKSTOFFE GMBH & CO. KG;35389,00;Werk Musterhausen
WA300669;14.04.2025;AR500669;100033;WEST TECHNIK GMBH;28693,00;Werk Musterhausen
WA300670;08.04.2025;AR500670;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;43344,00;Werk Musterhausen
WA300671;23.04.2025;AR500671;100117;ATLAS HANDEL E.K.;25516,00;Werk Musterhausen
WA300672;29.04.2025;AR500672;100079;CORVUS KARTON GMBH;34200,00;Werk Musterhausen
WA300673;01.04.2025;AR500673;100143;NOVA WERKSTOFFE KG;20365,00;Werk Musterhausen
WA300674;11.04.2025;AR500674;100090;WEST WERKSTOFFE GMBH;42355,00;Werk Musterhausen
WA300675;25.04.2025;AR500675;100025;LUPUS CHEMIE AG;25742,00;Werk Musterhausen
WA300676;10.04.2025;AR500676;100022;WEST INDUSTRIEBEDARF GMBH;22620,00;Werk Musterhausen
WA300677;11.04.2025;AR500677;100120;WEST TECHNIK SE;36787,00;Werk Musterhausen
WA300678;06.04.2025;AR500678;100013;NOVA FORMTEILE GMBH;37765,00;Werk Musterhausen
WA300679;04.04.2025;AR500679;100030;PRISMA ETIKETTEN AG;37678,00;Werk Musterhausen
WA300680;13.05.2025;AR500680;100152;NORD WERKSTOFFE GMBH;14226,00;Werk Musterhausen
WA300681;23.05.2025;AR500681;100020;ADLER TRANSPORT GMBH;46869,00;Werk Musterhausen
WA300682;07.05.2025;AR500682;100099;VEGA CHEMIE KG;18200,00;Werk Musterhausen
WA300683;12.05.2025;AR500683;100141;SOLUM TRANSPORT KG;23725,00;Werk Musterhausen
WA300684;20.05.2025;AR500684;100107;CASTOR VERPACKUNG AG;17103,00;Werk Musterhausen
WA300685;19.05.2025;AR500685;100103;IRIS MASCHINEN AG;25911,00;Werk Musterhausen
WA300686;16.05.2025;AR500686;100084;FOKUS LOGISTIK AG;21662,00;Werk Musterhausen
WA300687;16.05.2025;AR500687;100105;WEST SYSTEME GMBH & CO. KG;53765,00;Werk Musterhausen
WA300688;29.05.2025;AR500688;100111;PACTUM RECYCLING E.K.;36394,00;Werk Musterhausen
WA300689;23.05.2025;AR500689;100032;OMEGA VERPACKUNG KG;54074,00;Werk Musterhausen
WA300690;17.05.2025;AR500690;100125;AURORA HANDEL GMBH;42101,00;Werk Musterhausen
WA300691;02.05.2025;AR500691;100023;OST PAPIER SE;29383,00;Werk Musterhausen
WA300692;01.05.2025;AR500692;100023;OST PAPIER SE;20569,00;Werk Musterhausen
WA300693;21.05.2025;AR500693;100145;ATLAS RECYCLING SE;32407,00;Werk Musterhausen
WA300694;31.05.2025;AR500694;100081;ADLER RECYCLING GMBH;41562,00;Werk Musterhausen
WA300695;10.05.2025;AR500695;100016;MERKUR WERKSTOFFE SE;11300,00;Werk Musterhausen
WA300696;12.05.2025;AR500696;100015;OST WERKSTOFFE AG;13075,00;Werk Musterhausen
WA300697;02.05.2025;AR500697;100046;SÜD KUNSTSTOFF KG;5193,00;Werk Musterhausen
WA300698;24.05.2025;AR500698;100046;SÜD KUNSTSTOFF KG;19033,00;Werk Musterhausen
WA300699;30.05.2025;AR500699;100020;ADLER TRANSPORT GMBH;1601,00;Werk Musterhausen
WA300700;31.05.2025;AR500700;100157;IRIS DISTRIBUTION GMBH;28754,00;Werk Musterhausen
WA300701;11.05.2025;AR500701;100117;ATLAS HANDEL E.K.;28574,00;Werk Musterhausen
WA300702;01.05.2025;AR500702;100044;VEGA FORMTEILE GMBH;35387,00;Werk Musterhausen
WA300703;17.05.2025;AR500703;100121;FALKE WERKSTOFFE GMBH;12073,00;Werk Musterhausen
WA300704;26.05.2025;AR500704;100051;PACTUM DISTRIBUTION KG;7776,00;Werk Musterhausen
WA300705;21.05.2025;AR500705;100099;VEGA CHEMIE KG;24227,00;Werk Musterhausen
WA300706;03.05.2025;AR500706;100053;REIHER LOGISTIK GMBH;6433,00;Werk Musterhausen
WA300707;20.05.2025;AR500707;100082;NORD PAPIER KG;40946,00;Werk Musterhausen
WA300708;04.05.2025;AR500708;100048;ATLAS ETIKETTEN GMBH & CO. KG;38053,00;Werk Musterhausen
WA300709;30.05.2025;AR500709;100040;SOLUM WERKSTOFFE GMBH;10978,00;Werk Musterhausen
WA300710;04.05.2025;AR500710;100138;ALPHA FOLIEN GMBH;32009,00;Werk Musterhausen
WA300711;26.05.2025;AR500711;100076;PACTUM LOGISTIK SE;4456,00;Werk Musterhausen
WA300712;21.05.2025;AR500712;100075;FALKE ETIKETTEN E.K.;26089,00;Werk Musterhausen
WA300713;12.05.2025;AR500713;100156;KRANICH PAPIER GMBH & CO. KG;6025,00;Werk Musterhausen
WA300714;02.05.2025;AR500714;100135;PACTUM KARTON E.K.;47426,00;Werk Musterhausen
WA300715;01.05.2025;AR500715;100074;WEST LOGISTIK KG;7841,00;Werk Musterhausen
WA300716;09.05.2025;AR500716;100088;NOVA BESCHICHTUNG GMBH;46263,00;Werk Musterhausen
WA300717;02.05.2025;AR500717;100084;FOKUS LOGISTIK AG;46540,00;Werk Musterhausen
WA300718;03.05.2025;AR500718;100087;SOLUM VERPACKUNG GMBH;27173,00;Werk Musterhausen
WA300719;12.05.2025;AR500719;100104;NORD INDUSTRIEBEDARF GMBH;44479,00;Werk Musterhausen
WA300720;27.05.2025;AR500720;100088;NOVA BESCHICHTUNG GMBH;34039,00;Werk Musterhausen
WA300721;20.05.2025;AR500721;100068;VEGA ETIKETTEN KG;37461,00;Werk Musterhausen
WA300722;11.05.2025;AR500722;100090;WEST WERKSTOFFE GMBH;26825,00;Werk Musterhausen
WA300723;22.05.2025;AR500723;100095;KRONOS MASCHINEN SE;22621,00;Werk Musterhausen
WA300724;13.05.2025;AR500724;100021;HELIOS RECYCLING GMBH;12725,00;Werk Musterhausen
WA300725;21.05.2025;AR500725;100141;SOLUM TRANSPORT KG;9782,00;Werk Musterhausen
WA300726;23.05.2025;AR500726;100021;HELIOS RECYCLING GMBH;11409,00;Werk Musterhausen
WA300727;03.05.2025;AR500727;100139;RATIO BESCHICHTUNG KG;34841,00;Werk Musterhausen
WA300728;11.05.2025;AR500728;100072;IRIS LOGISTIK E.K.;34367,00;Werk Musterhausen
WA300729;26.05.2025;AR500729;100110;RATIO RECYCLING E.K.;41314,00;Werk Musterhausen
WA300730;28.05.2025;AR500730;100140;MERKUR HANDEL E.K.;51205,00;Werk Musterhausen
WA300731;20.05.2025;AR500731;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;21691,00;Werk Musterhausen
WA300732;07.05.2025;AR500732;100104;NORD INDUSTRIEBEDARF GMBH;23457,00;Werk Musterhausen
WA300733;02.05.2025;AR500733;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;33526,00;Werk Musterhausen
WA300734;18.05.2025;AR500734;100043;DELTA BESCHICHTUNG GMBH & CO. KG;7118,00;Werk Musterhausen
WA300735;15.05.2025;AR500735;100014;ALPHA HANDEL GMBH;34520,00;Werk Musterhausen
WA300736;24.05.2025;AR500736;100158;WEST SYSTEME AG;9725,00;Werk Musterhausen
WA300737;07.05.2025;AR500737;100076;PACTUM LOGISTIK SE;9706,00;Werk Musterhausen
WA300738;07.05.2025;AR500738;100003;IRIS MASCHINEN KG;40183,00;Werk Musterhausen
WA300739;09.05.2025;AR500739;100010;FOKUS TECHNIK GMBH;4171,00;Werk Musterhausen
WA300740;09.05.2025;AR500740;100110;RATIO RECYCLING E.K.;28365,00;Werk Musterhausen
WA300741;05.05.2025;AR500741;100059;FOKUS RECYCLING GMBH & CO. KG;23368,00;Werk Musterhausen
WA300742;01.05.2025;AR500742;100084;FOKUS LOGISTIK AG;4082,00;Werk Musterhausen
WA300743;23.05.2025;AR500743;100125;AURORA HANDEL GMBH;9892,00;Werk Musterhausen
WA300744;05.05.2025;AR500744;100130;TITAN DISTRIBUTION GMBH;53520,00;Werk Musterhausen
WA300745;30.05.2025;AR500745;100105;WEST SYSTEME GMBH & CO. KG;42192,00;Werk Musterhausen
WA300746;14.05.2025;AR500746;100090;WEST WERKSTOFFE GMBH;2739,00;Werk Musterhausen
WA300747;07.05.2025;AR500747;100110;RATIO RECYCLING E.K.;9121,00;Werk Musterhausen
WA300748;17.05.2025;AR500748;100044;VEGA FORMTEILE GMBH;40128,00;Werk Musterhausen
WA300749;20.05.2025;AR500749;100156;KRANICH PAPIER GMBH & CO. KG;51017,00;Werk Musterhausen
WA300750;05.05.2025;AR500750;100115;BOREAS KUNSTSTOFF KG;35430,00;Werk Musterhausen
WA300751;20.05.2025;AR500751;100032;OMEGA VERPACKUNG KG;24131,00;Werk Musterhausen
WA300752;17.05.2025;AR500752;100018;SOLUM RECYCLING AG;25958,00;Werk Musterhausen
WA300753;15.05.2025;AR500753;100072;IRIS LOGISTIK E.K.;23832,00;Werk Musterhausen
WA300754;04.05.2025;AR500754;100110;RATIO RECYCLING E.K.;17807,00;Werk Musterhausen
WA300755;02.05.2025;AR500755;100082;NORD PAPIER KG;7449,00;Werk Musterhausen
WA300756;17.05.2025;AR500756;100124;MERKUR MASCHINEN KG;39793,00;Werk Musterhausen
WA300757;20.05.2025;AR500757;100052;ORION TRANSPORT GMBH;21350,00;Werk Musterhausen
WA300758;17.05.2025;AR500758;100086;HELIOS FOLIEN GMBH & CO. KG;30120,00;Werk Musterhausen
WA300759;09.05.2025;AR500759;100017;HELIOS ETIKETTEN KG;52335,00;Werk Musterhausen
WA300760;20.05.2025;AR500760;100016;MERKUR WERKSTOFFE SE;25934,00;Werk Musterhausen
WA300761;30.05.2025;AR500761;100091;RATIO RECYCLING AG;6634,00;Werk Musterhausen
WA300762;10.05.2025;AR500762;100020;ADLER TRANSPORT GMBH;31553,00;Werk Musterhausen
WA300763;07.05.2025;AR500763;100019;POLLUX SYSTEME GMBH;41893,00;Werk Musterhausen
WA300764;18.05.2025;AR500764;100021;HELIOS RECYCLING GMBH;2369,00;Werk Musterhausen
WA300765;12.05.2025;AR500765;100127;TERRA TECHNIK KG;15957,00;Werk Musterhausen
WA300766;30.05.2025;AR500766;100058;VEGA ETIKETTEN GMBH & CO. KG;4660,00;Werk Musterhausen
WA300767;03.05.2025;AR500767;100102;CASTOR FORMTEILE GMBH;24727,00;Werk Musterhausen
WA300768;13.05.2025;AR500768;100027;BOREAS TRANSPORT AG;54520,00;Werk Musterhausen
WA300769;24.05.2025;AR500769;100030;PRISMA ETIKETTEN AG;19799,00;Werk Musterhausen
WA300770;21.05.2025;AR500770;100003;IRIS MASCHINEN KG;48880,00;Werk Musterhausen
WA300771;29.05.2025;AR500771;100002;FOKUS DRUCK SE;23953,00;Werk Musterhausen
WA300772;23.05.2025;AR500772;100131;WEST FORMTEILE GMBH;54115,00;Werk Musterhausen
WA300773;31.05.2025;AR500773;100059;FOKUS RECYCLING GMBH & CO. KG;48644,00;Werk Musterhausen
WA300774;09.05.2025;AR500774;100021;HELIOS RECYCLING GMBH;38607,00;Werk Musterhausen
WA300775;05.05.2025;AR500775;100025;LUPUS CHEMIE AG;27934,00;Werk Musterhausen
WA300776;24.05.2025;AR500776;100004;PRISMA SYSTEME AG;18058,00;Werk Musterhausen
WA300777;26.05.2025;AR500777;100064;FALKE MASCHINEN GMBH;48556,00;Werk Musterhausen
WA300778;20.05.2025;AR500778;100064;FALKE MASCHINEN GMBH;28611,00;Werk Musterhausen
WA300779;28.05.2025;AR500779;100108;ATLAS MASCHINEN AG;33712,00;Werk Musterhausen
WA300780;21.05.2025;AR500780;100032;OMEGA VERPACKUNG KG;54668,00;Werk Musterhausen
WA300781;11.05.2025;AR500781;100152;NORD WERKSTOFFE GMBH;21748,00;Werk Musterhausen
WA300782;07.05.2025;AR500782;100131;WEST FORMTEILE GMBH;17565,00;Werk Musterhausen
WA300783;14.05.2025;AR500783;100066;SOLUM PAPIER GMBH;25102,00;Werk Musterhausen
WA300784;14.05.2025;AR500784;100135;PACTUM KARTON E.K.;52369,00;Werk Musterhausen
WA300785;14.05.2025;AR500785;100014;ALPHA HANDEL GMBH;21736,00;Werk Musterhausen
WA300786;14.05.2025;AR500786;100013;NOVA FORMTEILE GMBH;8641,00;Werk Musterhausen
WA300787;06.05.2025;AR500787;100139;RATIO BESCHICHTUNG KG;10281,00;Werk Musterhausen
WA300788;13.05.2025;AR500788;100009;TITAN TECHNIK GMBH;35298,00;Werk Musterhausen
WA300789;28.05.2025;AR500789;100081;ADLER RECYCLING GMBH;8434,00;Werk Musterhausen
WA300790;22.05.2025;AR500790;100012;ATLAS FORMTEILE SE;18141,00;Werk Musterhausen
WA300791;29.05.2025;AR500791;100155;RATIO TRANSPORT GMBH;47096,00;Werk Musterhausen
WA300792;14.05.2025;AR500792;100122;FOKUS SYSTEME GMBH;18720,00;Werk Musterhausen
WA300793;13.05.2025;AR500793;100141;SOLUM TRANSPORT KG;11591,00;Werk Musterhausen
WA300794;13.05.2025;AR500794;100117;ATLAS HANDEL E.K.;8452,00;Werk Musterhausen
WA300795;12.05.2025;AR500795;100091;RATIO RECYCLING AG;40027,00;Werk Musterhausen
WA300796;31.05.2025;AR500796;100042;ADLER HANDEL GMBH;14398,00;Werk Musterhausen
WA300797;15.05.2025;AR500797;100005;CORVUS HANDEL KG;25954,00;Werk Musterhausen
WA300798;09.05.2025;AR500798;100137;PRISMA DISTRIBUTION GMBH;15823,00;Werk Musterhausen
WA300799;11.05.2025;AR500799;100112;WEST CHEMIE GMBH & CO. KG;23082,00;Werk Musterhausen
WA300800;27.05.2025;AR500800;100048;ATLAS ETIKETTEN GMBH & CO. KG;7768,00;Werk Musterhausen
WA300801;30.05.2025;AR500801;100152;NORD WERKSTOFFE GMBH;22636,00;Werk Musterhausen
WA300802;07.05.2025;AR500802;100150;SÜD RECYCLING GMBH;8144,00;Werk Musterhausen
WA300803;10.05.2025;AR500803;100150;SÜD RECYCLING GMBH;41016,00;Werk Musterhausen
WA300804;29.05.2025;AR500804;100156;KRANICH PAPIER GMBH & CO. KG;3152,00;Werk Musterhausen
WA300805;12.05.2025;AR500805;100037;PACTUM TECHNIK GMBH;30425,00;Werk Musterhausen
WA300806;17.05.2025;AR500806;100138;ALPHA FOLIEN GMBH;47158,00;Werk Musterhausen
WA300807;12.05.2025;AR500807;100088;NOVA BESCHICHTUNG GMBH;27039,00;Werk Musterhausen
WA300808;27.05.2025;AR500808;100137;PRISMA DISTRIBUTION GMBH;10974,00;Werk Musterhausen
WA300809;27.05.2025;AR500809;100060;ATLAS FOLIEN GMBH & CO. KG;38687,00;Werk Musterhausen
WA300810;10.05.2025;AR500810;100050;OST CHEMIE GMBH;14490,00;Werk Musterhausen
WA300811;06.05.2025;AR500811;100126;DELTA TECHNIK SE;23785,00;Werk Musterhausen
WA300812;19.05.2025;AR500812;100085;WEST LOGISTIK GMBH;8880,00;Werk Musterhausen
WA300813;30.05.2025;AR500813;100157;IRIS DISTRIBUTION GMBH;53220,00;Werk Musterhausen
WA300814;16.05.2025;AR500814;100019;POLLUX SYSTEME GMBH;15776,00;Werk Musterhausen
