RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;FAKTURADATUM;LEISTUNGSDATUM;BETRAG_EUR;WAEHRUNG;BEMERKUNG
AR500512;Rechnung;100128;RATIO INDUSTRIEBEDARF AG;10.04.2025;10.04.2025;23724,00;EUR;
AR500513;Rechnung;100079;CORVUS KARTON GMBH;17.04.2025;17.04.2025;4786,00;EUR;
AR500514;Rechnung;100097;VEGA WERKSTOFFE KG;06.04.2025;06.04.2025;54718,00;EUR;
AR500515;Rechnung;100034;BOREAS PAPIER GMBH;15.04.2025;15.04.2025;34395,00;EUR;
AR500516;Rechnung;100122;FOKUS SYSTEME GMBH;28.04.2025;28.04.2025;53727,00;EUR;
AR500517;Rechnung;100082;NORD PAPIER KG;06.04.2025;06.04.2025;38576,00;EUR;
AR500518;Rechnung;100143;NOVA WERKSTOFFE KG;27.04.2025;27.04.2025;46183,00;EUR;
AR500519;Rechnung;100115;BOREAS KUNSTSTOFF KG;03.04.2025;03.04.2025;24440,00;EUR;
AR500520;Rechnung;100095;KRONOS MASCHINEN SE;18.04.2025;18.04.2025;38675,00;EUR;
AR500521;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;14.04.2025;14.04.2025;736,00;EUR;
AR500522;Rechnung;100063;MERKUR DRUCK SE;21.04.2025;21.04.2025;29297,00;EUR;
AR500523;Rechnung;100073;KRANICH MASCHINEN AG;09.04.2025;09.04.2025;36300,00;EUR;
AR500524;Rechnung;100142;NOVA RECYCLING SE;27.04.2025;27.04.2025;9607,00;EUR;
AR500525;Rechnung;100092;SATURN ETIKETTEN GMBH;24.04.2025;24.04.2025;51189,00;EUR;
AR500526;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;22.04.2025;22.04.2025;13733,00;EUR;
AR500527;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;30.04.2025;30.04.2025;40427,00;EUR;
AR500528;Rechnung;100057;CORVUS FORMTEILE GMBH;26.04.2025;26.04.2025;2891,00;EUR;
AR500529;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;21.04.2025;21.04.2025;1519,00;EUR;
AR500530;Rechnung;100065;ATLAS ETIKETTEN E.K.;14.04.2025;14.04.2025;44190,00;EUR;
AR500531;Rechnung;100063;MERKUR DRUCK SE;19.04.2025;19.04.2025;29454,00;EUR;
AR500532;Rechnung;100077;KRANICH FORMTEILE E.K.;22.04.2025;22.04.2025;38690,00;EUR;
AR500533;Rechnung;100080;RATIO SYSTEME GMBH;28.04.2025;28.04.2025;11731,00;EUR;
AR500534;Rechnung;100081;ADLER RECYCLING GMBH;28.04.2025;28.04.2025;32876,00;EUR;
AR500535;Rechnung;100007;RATIO LOGISTIK GMBH;09.04.2025;09.04.2025;32207,00;EUR;
AR500536;Rechnung;100056;NORD WERKSTOFFE SE;09.04.2025;09.04.2025;46823,00;EUR;
AR500537;Rechnung;100129;ALPHA PAPIER E.K.;04.04.2025;04.04.2025;51376,00;EUR;
AR500538;Rechnung;100116;KRANICH MASCHINEN KG;06.04.2025;06.04.2025;51508,00;EUR;
AR500539;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;12.04.2025;12.04.2025;1922,00;EUR;
AR500540;Rechnung;100077;KRANICH FORMTEILE E.K.;10.04.2025;10.04.2025;26917,00;EUR;
AR500541;Rechnung;100071;VEGA PAPIER GMBH;21.04.2025;21.04.2025;49493,00;EUR;
AR500542;Rechnung;100122;FOKUS SYSTEME GMBH;18.04.2025;18.04.2025;12985,00;EUR;
AR500543;Rechnung;100036;KRONOS PAPIER GMBH;13.04.2025;13.04.2025;46673,00;EUR;
AR500544;Rechnung;100071;VEGA PAPIER GMBH;28.04.2025;28.04.2025;48430,00;EUR;
AR500545;Rechnung;100126;DELTA TECHNIK SE;22.04.2025;22.04.2025;6938,00;EUR;
AR500546;Rechnung;100151;KRONOS KUNSTSTOFF KG;07.04.2025;07.04.2025;53852,00;EUR;
AR500547;Rechnung;100064;FALKE MASCHINEN GMBH;05.04.2025;05.04.2025;22402,00;EUR;
AR500548;Rechnung;100100;KRONOS TRANSPORT SE;15.04.2025;15.04.2025;50044,00;EUR;
AR500549;Rechnung;100036;KRONOS PAPIER GMBH;13.04.2025;13.04.2025;51034,00;EUR;
AR500550;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;05.04.2025;05.04.2025;29120,00;EUR;
AR500551;Rechnung;100014;ALPHA HANDEL GMBH;29.04.2025;29.04.2025;9356,00;EUR;
AR500552;Rechnung;100071;VEGA PAPIER GMBH;15.04.2025;15.04.2025;13517,00;EUR;
AR500553;Rechnung;100149;RATIO DISTRIBUTION GMBH;26.04.2025;26.04.2025;52520,00;EUR;
AR500554;Rechnung;100063;MERKUR DRUCK SE;04.04.2025;04.04.2025;31565,00;EUR;
AR500555;Rechnung;100090;WEST WERKSTOFFE GMBH;09.04.2025;09.04.2025;54668,00;EUR;
AR500556;Rechnung;100071;VEGA PAPIER GMBH;08.04.2025;08.04.2025;37835,00;EUR;
AR500557;Rechnung;100098;PACTUM FOLIEN AG;03.04.2025;03.04.2025;45944,00;EUR;
AR500558;Rechnung;100135;PACTUM KARTON E.K.;08.04.2025;08.04.2025;35186,00;EUR;
AR500559;Rechnung;100021;HELIOS RECYCLING GMBH;03.04.2025;03.04.2025;41339,00;EUR;
AR500560;Rechnung;100093;TERRA RECYCLING GMBH;15.04.2025;15.04.2025;19731,00;EUR;
AR500561;Rechnung;100052;ORION TRANSPORT GMBH;22.04.2025;22.04.2025;23965,00;EUR;
AR500562;Rechnung;100016;MERKUR WERKSTOFFE SE;16.04.2025;16.04.2025;3867,00;EUR;
AR500563;Rechnung;100141;SOLUM TRANSPORT KG;25.04.2025;25.04.2025;32454,00;EUR;
AR500564;Rechnung;100113;MERKUR RECYCLING E.K.;27.04.2025;27.04.2025;24631,00;EUR;
AR500565;Rechnung;100004;PRISMA SYSTEME AG;06.04.2025;06.04.2025;8763,00;EUR;
AR500566;Rechnung;100114;ATLAS CHEMIE GMBH;30.04.2025;30.04.2025;38952,00;EUR;
AR500567;Rechnung;100158;WEST SYSTEME AG;22.04.2025;22.04.2025;33928,00;EUR;
AR500568;Rechnung;100061;TERRA KARTON E.K.;09.04.2025;09.04.2025;47774,00;EUR;
AR500569;Rechnung;100085;WEST LOGISTIK GMBH;29.04.2025;29.04.2025;24977,00;EUR;
AR500570;Rechnung;100032;OMEGA VERPACKUNG KG;21.04.2025;21.04.2025;54178,00;EUR;
AR500571;Rechnung;100036;KRONOS PAPIER GMBH;26.04.2025;26.04.2025;10697,00;EUR;
AR500572;Rechnung;100094;SATURN FORMTEILE SE;13.04.2025;13.04.2025;18738,00;EUR;
AR500573;Rechnung;100000;FALKE FOLIEN E.K.;12.04.2025;12.04.2025;27695,00;EUR;
AR500574;Rechnung;100036;KRONOS PAPIER GMBH;08.04.2025;08.04.2025;5567,00;EUR;
AR500575;Rechnung;100095;KRONOS MASCHINEN SE;22.04.2025;22.04.2025;31662,00;EUR;
AR500576;Rechnung;100036;KRONOS PAPIER GMBH;23.04.2025;23.04.2025;21613,00;EUR;
AR500577;Rechnung;100094;SATURN FORMTEILE SE;21.04.2025;21.04.2025;6034,00;EUR;
AR500578;Rechnung;100085;WEST LOGISTIK GMBH;04.04.2025;04.04.2025;2403,00;EUR;
AR500579;Rechnung;100144;WEST CHEMIE SE;09.04.2025;09.04.2025;3857,00;EUR;
AR500580;Rechnung;100097;VEGA WERKSTOFFE KG;11.04.2025;11.04.2025;52022,00;EUR;
AR500581;Rechnung;100067;NOVA DRUCK GMBH;24.04.2025;24.04.2025;41584,00;EUR;
AR500582;Rechnung;100051;PACTUM DISTRIBUTION KG;10.04.2025;10.04.2025;12106,00;EUR;
AR500583;Rechnung;100014;ALPHA HANDEL GMBH;02.04.2025;02.04.2025;40156,00;EUR;
AR500584;Rechnung;100110;RATIO RECYCLING E.K.;21.04.2025;21.04.2025;3718,00;EUR;
AR500585;Rechnung;100122;FOKUS SYSTEME GMBH;18.04.2025;18.04.2025;27854,00;EUR;
AR500586;Rechnung;100107;CASTOR VERPACKUNG AG;09.04.2025;09.04.2025;44905,00;EUR;
AR500587;Rechnung;100145;ATLAS RECYCLING SE;21.04.2025;21.04.2025;17329,00;EUR;
AR500588;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;22.04.2025;22.04.2025;9328,00;EUR;
AR500589;Rechnung;100015;OST WERKSTOFFE AG;10.04.2025;10.04.2025;37676,00;EUR;
AR500590;Rechnung;100033;WEST TECHNIK GMBH;16.04.2025;16.04.2025;44138,00;EUR;
AR500591;Rechnung;100102;CASTOR FORMTEILE GMBH;13.04.2025;13.04.2025;16952,00;EUR;
AR500592;Rechnung;100092;SATURN ETIKETTEN GMBH;07.04.2025;07.04.2025;10062,00;EUR;
AR500593;Rechnung;100034;BOREAS PAPIER GMBH;30.04.2025;30.04.2025;29010,00;EUR;
AR500594;Rechnung;100085;WEST LOGISTIK GMBH;03.04.2025;03.04.2025;16376,00;EUR;
AR500595;Rechnung;100061;TERRA KARTON E.K.;23.04.2025;23.04.2025;43590,00;EUR;
AR500596;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;01.04.2025;01.04.2025;26897,00;EUR;
AR500597;Rechnung;100041;PRISMA HANDEL E.K.;03.04.2025;03.04.2025;35769,00;EUR;
AR500598;Rechnung;100100;KRONOS TRANSPORT SE;16.04.2025;16.04.2025;22727,00;EUR;
AR500599;Rechnung;100149;RATIO DISTRIBUTION GMBH;26.04.2025;26.04.2025;12582,00;EUR;
AR500600;Rechnung;100115;BOREAS KUNSTSTOFF KG;21.04.2025;21.04.2025;4923,00;EUR;
AR500601;Rechnung;100057;CORVUS FORMTEILE GMBH;04.04.2025;04.04.2025;26264,00;EUR;
AR500602;Rechnung;100036;KRONOS PAPIER GMBH;01.04.2025;01.04.2025;33045,00;EUR;
AR500603;Rechnung;100013;NOVA FORMTEILE GMBH;17.04.2025;17.04.2025;37767,00;EUR;
AR500604;Rechnung;100064;FALKE MASCHINEN GMBH;30.04.2025;30.04.2025;50810,00;EUR;
AR500605;Rechnung;100065;ATLAS ETIKETTEN E.K.;22.04.2025;22.04.2025;29663,00;EUR;
AR500606;Rechnung;100126;DELTA TECHNIK SE;01.04.2025;01.04.2025;11126,00;EUR;
AR500607;Rechnung;100095;KRONOS MASCHINEN SE;24.04.2025;24.04.2025;50745,00;EUR;
AR500608;Rechnung;100078;FALKE SYSTEME GMBH;28.04.2025;28.04.2025;29036,00;EUR;
AR500609;Rechnung;100066;SOLUM PAPIER GMBH;03.04.2025;03.04.2025;42999,00;EUR;
AR500610;Rechnung;100138;ALPHA FOLIEN GMBH;24.04.2025;24.04.2025;34713,00;EUR;
AR500611;Rechnung;100028;VEGA FOLIEN GMBH;14.04.2025;14.04.2025;15253,00;EUR;
AR500612;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;21.04.2025;21.04.2025;29315,00;EUR;
AR500613;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;26.04.2025;26.04.2025;12128,00;EUR;
AR500614;Rechnung;100137;PRISMA DISTRIBUTION GMBH;06.04.2025;06.04.2025;13161,00;EUR;
AR500615;Rechnung;100045;HELIOS DRUCK GMBH;14.04.2025;14.04.2025;24102,00;EUR;
AR500616;Rechnung;100001;FOKUS KUNSTSTOFF GMBH;21.04.2025;21.04.2025;52979,00;EUR;
AR500617;Rechnung;100137;PRISMA DISTRIBUTION GMBH;12.04.2025;12.04.2025;7993,00;EUR;
AR500618;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;23.04.2025;23.04.2025;9326,00;EUR;
AR500619;Rechnung;100035;CIVES TECHNIK GMBH;21.04.2025;21.04.2025;22597,00;EUR;
AR500620;Rechnung;100013;NOVA FORMTEILE GMBH;07.04.2025;07.04.2025;25197,00;EUR;
AR500621;Rechnung;100006;SÜD DRUCK GMBH;12.04.2025;12.04.2025;13954,00;EUR;
AR500622;Rechnung;100134;SOLUM TRANSPORT E.K.;30.04.2025;30.04.2025;3473,00;EUR;
AR500623;Rechnung;100030;PRISMA ETIKETTEN AG;16.04.2025;16.04.2025;4249,00;EUR;
AR500624;Rechnung;100036;KRONOS PAPIER GMBH;23.04.2025;23.04.2025;44384,00;EUR;
AR500625;Rechnung;100020;ADLER TRANSPORT GMBH;12.04.2025;12.04.2025;50344,00;EUR;
AR500626;Rechnung;100119;TITAN WERKSTOFFE GMBH & CO. KG;13.04.2025;13.04.2025;9005,00;EUR;
AR500627;Rechnung;100116;KRANICH MASCHINEN KG;14.04.2025;14.04.2025;1010,00;EUR;
AR500628;Rechnung;100035;CIVES TECHNIK GMBH;14.04.2025;14.04.2025;21023,00;EUR;
AR500629;Rechnung;100102;CASTOR FORMTEILE GMBH;17.04.2025;17.04.2025;25728,00;EUR;
AR500630;Rechnung;100152;NORD WERKSTOFFE GMBH;13.04.2025;13.04.2025;28058,00;EUR;
AR500631;Rechnung;100103;IRIS MASCHINEN AG;20.04.2025;20.04.2025;35869,00;EUR;
AR500632;Rechnung;100003;IRIS MASCHINEN KG;08.04.2025;08.04.2025;31407,00;EUR;
AR500633;Rechnung;100070;ADLER DRUCK GMBH;01.04.2025;01.04.2025;12634,00;EUR;
AR500634;Rechnung;100103;IRIS MASCHINEN AG;13.04.2025;13.04.2025;41684,00;EUR;
AR500635;Rechnung;100050;OST CHEMIE GMBH;16.04.2025;16.04.2025;23447,00;EUR;
AR500636;Rechnung;100095;KRONOS MASCHINEN SE;01.04.2025;01.04.2025;33417,00;EUR;
AR500637;Rechnung;100023;OST PAPIER SE;26.04.2025;26.04.2025;22649,00;EUR;
AR500638;Rechnung;100076;PACTUM LOGISTIK SE;30.04.2025;30.04.2025;47740,00;EUR;
AR500639;Rechnung;100120;WEST TECHNIK SE;22.04.2025;22.04.2025;20499,00;EUR;
AR500640;Rechnung;100088;NOVA BESCHICHTUNG GMBH;30.04.2025;30.04.2025;44577,00;EUR;
AR500641;Rechnung;100140;MERKUR HANDEL E.K.;23.04.2025;23.04.2025;40116,00;EUR;
AR500642;Rechnung;100044;VEGA FORMTEILE GMBH;21.04.2025;21.04.2025;43740,00;EUR;
AR500643;Rechnung;100080;RATIO SYSTEME GMBH;29.04.2025;29.04.2025;42601,00;EUR;
AR500644;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;06.04.2025;06.04.2025;30859,00;EUR;
AR500645;Rechnung;100134;SOLUM TRANSPORT E.K.;03.04.2025;03.04.2025;29768,00;EUR;
AR500646;Rechnung;100099;VEGA CHEMIE KG;30.04.2025;30.04.2025;19596,00;EUR;
AR500647;Rechnung;100081;ADLER RECYCLING GMBH;23.04.2025;23.04.2025;22016,00;EUR;
AR500648;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;24.04.2025;24.04.2025;24185,00;EUR;
AR500649;Rechnung;100063;MERKUR DRUCK SE;02.04.2025;02.04.2025;11037,00;EUR;
AR500650;Rechnung;100024;KRANICH HANDEL GMBH;08.04.2025;08.04.2025;22632,00;EUR;
AR500651;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;06.04.2025;06.04.2025;7323,00;EUR;
AR500652;Rechnung;100145;ATLAS RECYCLING SE;30.04.2025;30.04.2025;42620,00;EUR;
AR500653;Rechnung;100074;WEST LOGISTIK KG;26.04.2025;26.04.2025;52324,00;EUR;
AR500654;Rechnung;100067;NOVA DRUCK GMBH;27.04.2025;27.04.2025;43111,00;EUR;
AR500655;Rechnung;100010;FOKUS TECHNIK GMBH;09.04.2025;09.04.2025;26596,00;EUR;
AR500656;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;23.04.2025;23.04.2025;22892,00;EUR;
AR500657;Rechnung;100051;PACTUM DISTRIBUTION KG;07.04.2025;07.04.2025;54743,00;EUR;
AR500658;Rechnung;100129;ALPHA PAPIER E.K.;16.04.2025;16.04.2025;43792,00;EUR;
AR500659;Rechnung;100139;RATIO BESCHICHTUNG KG;23.04.2025;23.04.2025;857,00;EUR;
AR500660;Rechnung;100159;MERKUR DRUCK AG;07.04.2025;07.04.2025;16468,00;EUR;
AR500661;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;18.04.2025;18.04.2025;23530,00;EUR;
AR500662;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;08.04.2025;08.04.2025;51279,00;EUR;
AR500663;Rechnung;100099;VEGA CHEMIE KG;13.04.2025;13.04.2025;49206,00;EUR;
AR500664;Rechnung;100151;KRONOS KUNSTSTOFF KG;30.04.2025;30.04.2025;40026,00;EUR;
AR500665;Rechnung;100106;ALPHA RECYCLING AG;16.04.2025;16.04.2025;41844,00;EUR;
AR500666;Rechnung;100139;RATIO BESCHICHTUNG KG;19.04.2025;19.04.2025;27039,00;EUR;
AR500667;Rechnung;100099;VEGA CHEMIE KG;03.04.2025;03.04.2025;28353,00;EUR;
AR500668;Rechnung;100119;TITAN WERKSTOFFE GMBH & CO. KG;03.04.2025;03.04.2025;35389,00;EUR;
AR500669;Rechnung;100033;WEST TECHNIK GMBH;14.04.2025;14.04.2025;28693,00;EUR;
AR500670;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;08.04.2025;08.04.2025;43344,00;EUR;
AR500671;Rechnung;100117;ATLAS HANDEL E.K.;23.04.2025;23.04.2025;25516,00;EUR;
AR500672;Rechnung;100079;CORVUS KARTON GMBH;29.04.2025;29.04.2025;34200,00;EUR;
AR500673;Rechnung;100143;NOVA WERKSTOFFE KG;01.04.2025;01.04.2025;20365,00;EUR;
AR500674;Rechnung;100090;WEST WERKSTOFFE GMBH;11.04.2025;11.04.2025;42355,00;EUR;
AR500675;Rechnung;100025;LUPUS CHEMIE AG;25.04.2025;25.04.2025;25742,00;EUR;
AR500676;Rechnung;100022;WEST INDUSTRIEBEDARF GMBH;10.04.2025;10.04.2025;22620,00;EUR;
AR500677;Rechnung;100120;WEST TECHNIK SE;11.04.2025;11.04.2025;36787,00;EUR;
AR500678;Rechnung;100013;NOVA FORMTEILE GMBH;06.04.2025;06.04.2025;37765,00;EUR;
AR500679;Rechnung;100030;PRISMA ETIKETTEN AG;04.04.2025;04.04.2025;37678,00;EUR;
AR500680;Rechnung;100152;NORD WERKSTOFFE GMBH;13.05.2025;13.05.2025;14226,00;EUR;
AR500681;Rechnung;100020;ADLER TRANSPORT GMBH;23.05.2025;23.05.2025;46869,00;EUR;
AR500682;Rechnung;100099;VEGA CHEMIE KG;07.05.2025;07.05.2025;18200,00;EUR;
AR500683;Rechnung;100141;SOLUM TRANSPORT KG;12.05.2025;12.05.2025;23725,00;EUR;
AR500684;Rechnung;100107;CASTOR VERPACKUNG AG;20.05.2025;20.05.2025;17103,00;EUR;
AR500685;Rechnung;100103;IRIS MASCHINEN AG;19.05.2025;19.05.2025;25911,00;EUR;
AR500686;Rechnung;100084;FOKUS LOGISTIK AG;16.05.2025;16.05.2025;21662,00;EUR;
AR500687;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;16.05.2025;16.05.2025;53765,00;EUR;
AR500688;Rechnung;100111;PACTUM RECYCLING E.K.;29.05.2025;29.05.2025;36394,00;EUR;
AR500689;Rechnung;100032;OMEGA VERPACKUNG KG;23.05.2025;23.05.2025;54074,00;EUR;
AR500690;Rechnung;100125;AURORA HANDEL GMBH;17.05.2025;17.05.2025;42101,00;EUR;
AR500691;Rechnung;100023;OST PAPIER SE;02.05.2025;02.05.2025;29383,00;EUR;
AR500692;Rechnung;100023;OST PAPIER SE;01.05.2025;01.05.2025;20569,00;EUR;
AR500693;Rechnung;100145;ATLAS RECYCLING SE;21.05.2025;21.05.2025;32407,00;EUR;
AR500694;Rechnung;100081;ADLER RECYCLING GMBH;31.05.2025;31.05.2025;41562,00;EUR;
AR500695;Rechnung;100016;MERKUR WERKSTOFFE SE;10.05.2025;10.05.2025;11300,00;EUR;
AR500696;Rechnung;100015;OST WERKSTOFFE AG;12.05.2025;12.05.2025;13075,00;EUR;
AR500697;Rechnung;100046;SÜD KUNSTSTOFF KG;02.05.2025;02.05.2025;5193,00;EUR;
AR500698;Rechnung;100046;SÜD KUNSTSTOFF KG;24.05.2025;24.05.2025;19033,00;EUR;
AR500699;Rechnung;100020;ADLER TRANSPORT GMBH;30.05.2025;30.05.2025;1601,00;EUR;
AR500700;Rechnung;100157;IRIS DISTRIBUTION GMBH;31.05.2025;31.05.2025;28754,00;EUR;
AR500701;Rechnung;100117;ATLAS HANDEL E.K.;11.05.2025;11.05.2025;28574,00;EUR;
AR500702;Rechnung;100044;VEGA FORMTEILE GMBH;01.05.2025;01.05.2025;35387,00;EUR;
AR500703;Rechnung;100121;FALKE WERKSTOFFE GMBH;17.05.2025;17.05.2025;12073,00;EUR;
AR500704;Rechnung;100051;PACTUM DISTRIBUTION KG;26.05.2025;26.05.2025;7776,00;EUR;
AR500705;Rechnung;100099;VEGA CHEMIE KG;21.05.2025;21.05.2025;24227,00;EUR;
AR500706;Rechnung;100053;REIHER LOGISTIK GMBH;03.05.2025;03.05.2025;6433,00;EUR;
AR500707;Rechnung;100082;NORD PAPIER KG;20.05.2025;20.05.2025;40946,00;EUR;
AR500708;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;04.05.2025;04.05.2025;38053,00;EUR;
AR500709;Rechnung;100040;SOLUM WERKSTOFFE GMBH;30.05.2025;30.05.2025;10978,00;EUR;
AR500710;Rechnung;100138;ALPHA FOLIEN GMBH;04.05.2025;04.05.2025;32009,00;EUR;
AR500711;Rechnung;100076;PACTUM LOGISTIK SE;26.05.2025;26.05.2025;4456,00;EUR;
AR500712;Rechnung;100075;FALKE ETIKETTEN E.K.;21.05.2025;21.05.2025;26089,00;EUR;
AR500713;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;12.05.2025;12.05.2025;6025,00;EUR;
AR500714;Rechnung;100135;PACTUM KARTON E.K.;02.05.2025;02.05.2025;47426,00;EUR;
AR500715;Rechnung;100074;WEST LOGISTIK KG;01.05.2025;01.05.2025;7841,00;EUR;
AR500716;Rechnung;100088;NOVA BESCHICHTUNG GMBH;09.05.2025;09.05.2025;46263,00;EUR;
AR500717;Rechnung;100084;FOKUS LOGISTIK AG;02.05.2025;02.05.2025;46540,00;EUR;
AR500718;Rechnung;100087;SOLUM VERPACKUNG GMBH;03.05.2025;03.05.2025;27173,00;EUR;
AR500719;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;12.05.2025;12.05.2025;44479,00;EUR;
AR500720;Rechnung;100088;NOVA BESCHICHTUNG GMBH;27.05.2025;27.05.2025;34039,00;EUR;
AR500721;Rechnung;100068;VEGA ETIKETTEN KG;20.05.2025;20.05.2025;37461,00;EUR;
AR500722;Rechnung;100090;WEST WERKSTOFFE GMBH;11.05.2025;11.05.2025;26825,00;EUR;
AR500723;Rechnung;100095;KRONOS MASCHINEN SE;22.05.2025;22.05.2025;22621,00;EUR;
AR500724;Rechnung;100021;HELIOS RECYCLING GMBH;13.05.2025;13.05.2025;12725,00;EUR;
AR500725;Rechnung;100141;SOLUM TRANSPORT KG;21.05.2025;21.05.2025;9782,00;EUR;
AR500726;Rechnung;100021;HELIOS RECYCLING GMBH;23.05.2025;23.05.2025;11409,00;EUR;
AR500727;Rechnung;100139;RATIO BESCHICHTUNG KG;03.05.2025;03.05.2025;34841,00;EUR;
AR500728;Rechnung;100072;IRIS LOGISTIK E.K.;11.05.2025;11.05.2025;34367,00;EUR;
AR500729;Rechnung;100110;RATIO RECYCLING E.K.;26.05.2025;26.05.2025;41314,00;EUR;
AR500730;Rechnung;100140;MERKUR HANDEL E.K.;28.05.2025;28.05.2025;51205,00;EUR;
AR500731;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;20.05.2025;20.05.2025;21691,00;EUR;
AR500732;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;07.05.2025;07.05.2025;23457,00;EUR;
AR500733;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;02.05.2025;02.05.2025;33526,00;EUR;
AR500734;Rechnung;100043;DELTA BESCHICHTUNG GMBH & CO. KG;18.05.2025;18.05.2025;7118,00;EUR;
AR500735;Rechnung;100014;ALPHA HANDEL GMBH;15.05.2025;15.05.2025;34520,00;EUR;
AR500736;Rechnung;100158;WEST SYSTEME AG;24.05.2025;24.05.2025;9725,00;EUR;
AR500737;Rechnung;100076;PACTUM LOGISTIK SE;07.05.2025;07.05.2025;9706,00;EUR;
AR500738;Rechnung;100003;IRIS MASCHINEN KG;07.05.2025;07.05.2025;40183,00;EUR;
AR500739;Rechnung;100010;FOKUS TECHNIK GMBH;09.05.2025;09.05.2025;4171,00;EUR;
AR500740;Rechnung;100110;RATIO RECYCLING E.K.;09.05.2025;09.05.2025;28365,00;EUR;
AR500741;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;05.05.2025;05.05.2025;23368,00;EUR;
AR500742;Rechnung;100084;FOKUS LOGISTIK AG;01.05.2025;01.05.2025;4082,00;EUR;
AR500743;Rechnung;100125;AURORA HANDEL GMBH;23.05.2025;23.05.2025;9892,00;EUR;
AR500744;Rechnung;100130;TITAN DISTRIBUTION GMBH;05.05.2025;05.05.2025;53520,00;EUR;
AR500745;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;30.05.2025;30.05.2025;42192,00;EUR;
AR500746;Rechnung;100090;WEST WERKSTOFFE GMBH;14.05.2025;14.05.2025;2739,00;EUR;
AR500747;Rechnung;100110;RATIO RECYCLING E.K.;07.05.2025;07.05.2025;9121,00;EUR;
AR500748;Rechnung;100044;VEGA FORMTEILE GMBH;17.05.2025;17.05.2025;40128,00;EUR;
AR500749;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;20.05.2025;20.05.2025;51017,00;EUR;
AR500750;Rechnung;100115;BOREAS KUNSTSTOFF KG;05.05.2025;05.05.2025;35430,00;EUR;
AR500751;Rechnung;100032;OMEGA VERPACKUNG KG;20.05.2025;20.05.2025;24131,00;EUR;
AR500752;Rechnung;100018;SOLUM RECYCLING AG;17.05.2025;17.05.2025;25958,00;EUR;
AR500753;Rechnung;100072;IRIS LOGISTIK E.K.;15.05.2025;15.05.2025;23832,00;EUR;
AR500754;Rechnung;100110;RATIO RECYCLING E.K.;04.05.2025;04.05.2025;17807,00;EUR;
AR500755;Rechnung;100082;NORD PAPIER KG;02.05.2025;02.05.2025;7449,00;EUR;
AR500756;Rechnung;100124;MERKUR MASCHINEN KG;17.05.2025;17.05.2025;39793,00;EUR;
AR500757;Rechnung;100052;ORION TRANSPORT GMBH;20.05.2025;20.05.2025;21350,00;EUR;
AR500758;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;17.05.2025;17.05.2025;30120,00;EUR;
AR500759;Rechnung;100017;HELIOS ETIKETTEN KG;09.05.2025;09.05.2025;52335,00;EUR;
AR500760;Rechnung;100016;MERKUR WERKSTOFFE SE;20.05.2025;20.05.2025;25934,00;EUR;
AR500761;Rechnung;100091;RATIO RECYCLING AG;30.05.2025;30.05.2025;6634,00;EUR;
AR500762;Rechnung;100020;ADLER TRANSPORT GMBH;10.05.2025;10.05.2025;31553,00;EUR;
AR500763;Rechnung;100019;POLLUX SYSTEME GMBH;07.05.2025;07.05.2025;41893,00;EUR;
AR500764;Rechnung;100021;HELIOS RECYCLING GMBH;18.05.2025;18.05.2025;2369,00;EUR;
AR500765;Rechnung;100127;TERRA TECHNIK KG;12.05.2025;12.05.2025;15957,00;EUR;
AR500766;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;30.05.2025;30.05.2025;4660,00;EUR;
AR500767;Rechnung;100102;CASTOR FORMTEILE GMBH;03.05.2025;03.05.2025;24727,00;EUR;
